"week","sampleid","bat_species","seropos","antigen","age","age_bin","collection_date","biwk"
1,"KEL253","Eidolon dupreanum",1,"NiV",0.136986301369863,0.8,2019-01-06,1
1,"KEL252","Eidolon dupreanum",1,"NiV",7,9,2019-01-06,1
1,"KEL254","Eidolon dupreanum",1,"NiV",1,2,2019-01-06,1
2,"KEL147","Eidolon dupreanum",1,"NiV",2,2,2016-01-10,1
2,"KEL262","Eidolon dupreanum",0,"NiV",1,2,2019-01-08,1
2,"KEL139","Eidolon dupreanum",0,"NiV",1,2,2016-01-10,1
2,"ANGB117","Eidolon dupreanum",0,"NiV",1,2,2016-01-08,1
2,"KEL258","Eidolon dupreanum",0,"NiV",16,16,2019-01-08,1
2,"KEL257","Eidolon dupreanum",0,"NiV",4,4,2019-01-08,1
2,"KEL261","Eidolon dupreanum",1,"NiV",8,9,2019-01-08,1
2,"KEL255","Eidolon dupreanum",0,"NiV",2,2,2019-01-08,1
2,"KEL256","Eidolon dupreanum",0,"NiV",4,4,2019-01-08,1
2,"KEL134","Eidolon dupreanum",1,"NiV",3,4,2016-01-10,1
2,"ANGB111","Eidolon dupreanum",0,"NiV",1,2,2016-01-08,1
2,"ANGB112","Eidolon dupreanum",0,"NiV",2,2,2016-01-08,1
2,"KEL135","Eidolon dupreanum",0,"NiV",2,2,2016-01-10,1
2,"KEL133","Eidolon dupreanum",0,"NiV",4.5,6,2016-01-10,1
2,"KEL263","Eidolon dupreanum",1,"NiV",6,6,2019-01-08,1
2,"KEL264","Eidolon dupreanum",0,"NiV",4,4,2019-01-08,1
6,"KEL296","Eidolon dupreanum",0,"NiV",6,6,2019-02-06,3
6,"KEL295","Eidolon dupreanum",1,"NiV",2,2,2019-02-06,3
6,"KEL286","Eidolon dupreanum",0,"NiV",0.219178082191781,0.8,2019-02-05,3
6,"KEL290","Eidolon dupreanum",1,"NiV",4,4,2019-02-06,3
6,"KEL298","Eidolon dupreanum",0,"NiV",3,4,2019-02-06,3
6,"KEL281","Eidolon dupreanum",0,"NiV",0.219178082191781,0.8,2019-02-05,3
6,"KEL291","Eidolon dupreanum",1,"NiV",4,4,2019-02-06,3
6,"KEL297","Eidolon dupreanum",1,"NiV",5,6,2019-02-06,3
7,"KEL159","Eidolon dupreanum",0,"NiV",0.246575342465753,0.8,2018-02-15,4
7,"KEL164","Eidolon dupreanum",1,"NiV",0.246575342465753,0.8,2018-02-15,4
7,"KEL169","Eidolon dupreanum",1,"NiV",0.246575342465753,0.8,2018-02-15,4
7,"KEL171","Eidolon dupreanum",1,"NiV",0.246575342465753,0.8,2018-02-15,4
7,"KEL166","Eidolon dupreanum",1,"NiV",0.246575342465753,0.8,2018-02-15,4
10,"KEL475","Eidolon dupreanum",0,"NiV",0.315068493150685,0.8,2020-03-10,5
10,"KEL473","Eidolon dupreanum",1,"NiV",0.312328767123288,0.8,2020-03-10,5
10,"KEL475","Eidolon dupreanum",0,"NiV",0.312328767123288,0.8,2020-03-10,5
10,"KEL477","Eidolon dupreanum",1,"NiV",0.315068493150685,0.8,2020-03-10,5
10,"KEL478","Eidolon dupreanum",1,"NiV",0.315068493150685,0.8,2020-03-10,5
10,"KEL480","Eidolon dupreanum",0,"NiV",0.312328767123288,0.8,2020-03-10,5
10,"KEL480","Eidolon dupreanum",0,"NiV",0.315068493150685,0.8,2020-03-10,5
10,"KEL484","Eidolon dupreanum",0,"NiV",0.312328767123288,0.8,2020-03-10,5
10,"KEL484","Eidolon dupreanum",0,"NiV",0.315068493150685,0.8,2020-03-10,5
10,"KEL476","Eidolon dupreanum",1,"NiV",0.315068493150685,0.8,2020-03-10,5
10,"KEL476","Eidolon dupreanum",1,"NiV",0.312328767123288,0.8,2020-03-10,5
10,"KEL477","Eidolon dupreanum",1,"NiV",0.312328767123288,0.8,2020-03-10,5
10,"KEL479","Eidolon dupreanum",1,"NiV",0.312328767123288,0.8,2020-03-10,5
10,"KEL469","Eidolon dupreanum",0,"NiV",0.312328767123288,0.8,2020-03-10,5
10,"KEL478","Eidolon dupreanum",1,"NiV",0.312328767123288,0.8,2020-03-10,5
10,"KEL479","Eidolon dupreanum",1,"NiV",0.315068493150685,0.8,2020-03-10,5
10,"KEL469","Eidolon dupreanum",0,"NiV",0.315068493150685,0.8,2020-03-10,5
10,"KEL473","Eidolon dupreanum",1,"NiV",0.315068493150685,0.8,2020-03-10,5
11,"KEL268B","Eidolon dupreanum",0,"NiV",0.320547945205479,0.8,2019-03-14,6
11,"KEL273B","Eidolon dupreanum",0,"NiV",1,2,2019-03-14,6
11,"KEL275B","Eidolon dupreanum",0,"NiV",2,2,2019-03-14,6
11,"KEL270B","Eidolon dupreanum",1,"NiV",0.5,0.8,2019-03-14,6
11,"KEL278B","Eidolon dupreanum",1,"NiV",6,6,2019-03-14,6
11,"KEL463B","Eidolon dupreanum",1,"NiV",0.312328767123288,0.8,2020-03-11,6
11,"KEL276B","Eidolon dupreanum",1,"NiV",2,2,2019-03-14,6
11,"KEL279B","Eidolon dupreanum",1,"NiV",2,2,2019-03-14,6
11,"KEL485","Eidolon dupreanum",0,"NiV",0.315068493150685,0.8,2020-03-11,6
11,"KEL467B","Eidolon dupreanum",0,"NiV",0.312328767123288,0.8,2020-03-11,6
11,"KEL277B","Eidolon dupreanum",0,"NiV",3,4,2019-03-14,6
13,"AND40","Eidolon dupreanum",0,"NiV",7,9,2015-03-31,7
13,"AND37","Eidolon dupreanum",1,"NiV",3,4,2015-03-30,7
13,"AND38","Eidolon dupreanum",0,"NiV",13,14,2015-03-30,7
14,"ANDH1","Eidolon dupreanum",0,"NiV",0.372602739726027,0.8,2015-04-02,7
14,"ANDH2","Eidolon dupreanum",0,"NiV",2,2,2015-04-02,7
15,"ANGB135","Eidolon dupreanum",1,"NiV",3,4,2018-04-09,8
15,"KEL185","Eidolon dupreanum",1,"NiV",6,6,2018-04-10,8
15,"KEL187","Eidolon dupreanum",0,"NiV",5,6,2018-04-10,8
15,"KEL206","Eidolon dupreanum",1,"NiV",0.394520547945205,0.8,2018-04-10,8
15,"KEL186","Eidolon dupreanum",0,"NiV",5,6,2018-04-10,8
15,"ANGB142","Eidolon dupreanum",0,"NiV",1,2,2018-04-09,8
15,"KEL193","Eidolon dupreanum",0,"NiV",0.394520547945205,0.8,2018-04-10,8
15,"KEL188","Eidolon dupreanum",0,"NiV",4,4,2018-04-10,8
17,"KEL119","Eidolon dupreanum",0,"NiV",12,14,2015-04-28,9
17,"ANGB67","Eidolon dupreanum",0,"NiV",3,4,2015-04-27,9
17,"KEL316","Eidolon dupreanum",0,"NiV",1,2,2019-04-23,9
17,"ANGB83","Eidolon dupreanum",0,"NiV",3,4,2015-04-27,9
17,"ANGB81","Eidolon dupreanum",0,"NiV",12,14,2015-04-27,9
17,"ANGB84","Eidolon dupreanum",0,"NiV",2.75,4,2015-04-27,9
17,"KEL317","Eidolon dupreanum",1,"NiV",1,2,2019-04-23,9
17,"ANGB78","Eidolon dupreanum",0,"NiV",0.441095890410959,0.8,2015-04-27,9
17,"ANGB79","Eidolon dupreanum",0,"NiV",1,2,2015-04-27,9
17,"KEL313","Eidolon dupreanum",1,"NiV",8,9,2019-04-23,9
17,"KEL309","Eidolon dupreanum",0,"NiV",6,6,2019-04-23,9
17,"KEL327","Eidolon dupreanum",1,"NiV",0.43013698630137,0.8,2019-04-23,9
17,"ANGB82","Eidolon dupreanum",0,"NiV",9.5,11,2015-04-27,9
17,"ANGB77","Eidolon dupreanum",0,"NiV",1,2,2015-04-27,9
17,"KEL312","Eidolon dupreanum",0,"NiV",1,2,2019-04-23,9
17,"KEL326","Eidolon dupreanum",0,"NiV",2,2,2019-04-23,9
23,"KEL345","Eidolon dupreanum",0,"NiV",9,9,2019-06-06,12
23,"KEL340","Eidolon dupreanum",0,"NiV",1,2,2019-06-05,12
23,"KEL339","Eidolon dupreanum",0,"NiV",1,2,2019-06-05,12
23,"KEL337","Eidolon dupreanum",1,"NiV",4,4,2019-06-05,12
23,"KEL336","Eidolon dupreanum",0,"NiV",6,6,2019-06-05,12
