Roost.ID,Name,Genus,Species,location.lat,location.long,Altitude,Province,Location,Habitat,Source,Publication,Visited by TFF,month visited by source,year visited,threats,hunting data?,Count data?,contacts,tribe,attitude of locals,distance to habitation,Miscellaneous
1,Reakaly,Eidolon,dupreanum,-24.667,44.55,100m,Toliara,baobab tree,dense seche degradee,Colney,,yes,5,99,some bats are eaten in Ampanihy when they visit during the night,no,yes,"M. Georges at the Relais d'Ampanihy knows the location of the roost.  Ampanihy is about 22 km away from the roost, you leave town coming north towards Tulear and take a left turn at the deviation 6km out of Ampanihy",Mahafaly,"negative, they leave them alone along with most other wild animals.
It is fady for the local villagers to enter into the baobab tree which contains the roost",0.15,
2,Gorge de Manambolo,Eidolon,dupreanum,-19.117,44.833,200m,Mahajunga,small crevice in the limestone gorge,deciduous forest on limestone karst,Colney,,yes,6,99,Hunting of fruit bats occurs in all villages in the region when the bats visit trees during the night.  During june Kapoks are in flower and this is a time when there is a particularly high incidence of hunting,,,guides at the local Bemeraha project office.  It is on the gorge de Manambolo very close to Bekopaka.,Sakalava Menabe,"They will eat bats, however many respect the roosting sites of bats and will not take bats at the roosts.",1,"this roost seems to have been there long term (at least since 1990) and florent has seen it in both dry and wet season, but is very small, possibly  only tens of individuals.  There were no bast there when we visited in June 1999."
3,Antongony,Eidolon,dupreanum,-18.94,47.283,300m,Antananarivo,crevice in cliff face,agricultural land,Colney,,yes,5,99,eaten by the local people who light fires under the crevice to disturb the bats and then knock them down using pieces of wood and stones.,,,"Florent colney, relais des Pistards",Merina,,1,florent visited this site in 1995 and 1997 and both times there were bats
4,Ambatovaky,Eidolon,dupreanum,-18.983,47.417,400m,Antananarivo,crevice in granite cliff face,agricultural land,Colney,,yes,9,99,Eaten by locals,no,yes,Florent Colney,Merina,They eat the bats,0.5,"Florent saw these bats in 1995 and in 1997.
There is a Eucalptus forest nearby"
5,Tsimbazaza,Eidolon,dupreanum,-18.91,47.52,1000m,Antananarivo,palm trees,Urban park,MacKinnon,,yes,3,99,eaten by some the guards at the park,,,"M. Felix RAKOTONDRAPARANY, vertebrate biologist at zoo
but can see them outside park, go and ask the guardiens to let you see them by the museum building.",Merina,probably most people do not know about them or care much,0.1,According to Steve Goodman the population of Eidolon in Tana has decreased a lot during the last 10 years.  There used to be one in the grounds of the military hospital but it is no longer there.  The bats were feeding on Eugenia jambolona fruits in march.
6,Lac Tritriva,Eidolon,dupreanum,-19.929,46.917,1000m,Antananarivo,crevices in the cliff face,agricultural land,MacKinnon,,yes,3,99,"they are hunted by at least one person in Tritriva village, he catches them with nets.",yes,yes,The guardien at the lake will point them out to you.,Merina,clearly some people eat them but in addition they are considred a slight pest to peach crops and possibly other fruit,1,there are  three different roosting sites around the lake
7,Montagne des francais,Eidolon,dupreanum,-12.333,49.35,500m,Antsiranana,various locations throughout the mountains,,Dobrilla,,no,0,0,,,,"It is near Diego, you need to get there by 4x4.",,,,"there is a big cave with lots of bats, not sure about the species.  Didn't visit when in region but there must be eidolon there, possibly Roussettus also."
8,Ankarakandatra,Eidolon,dupreanum,-21.4,47.783,1200m,Fianarantsoa,Fissure des roches,foret secondaire,Manantsoa,,Ralisoamalala,5,2000,oui,yes,yes,Manantsoa Fotobohitra Kianjavato 317 Mananjary,Antanala- Betsileo Merina Antesaka,"Merina , betsileo sont les consommateurs",6,Les animaux mouvent dans des fissures plus hautes de la roche
9,Ambatoloaka,Eidolon,dupreanum,-20.35,47.817,1200m,Fianarantsoa,cave,foret primaire,Manantsoa Fotobohitra kianjavato,,Rosette Ralisoamalala,5,2000,,,,,Antanala,capture au gite,3,
10,Soaserana,Eidolon,dupreanum,-20.467,44.167,600m,Toliara,cocotiers,palmeraie,MacKinnon,,Rosette et Martin,7,2000,,oui,non,,Sakalava Menabe,consommation,0.1,
