event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:altitude,argos:best-level,argos:calcul-freq,argos:error-radius,argos:gdop,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,argos:nopc,argos:orientation,argos:pass-duration,argos:semi-major,argos:semi-minor,argos:sensor-1,argos:sensor-2,argos:sensor-3,argos:sensor-4,argos:valid-location-algorithm,external-temperature,gps:fix-type-raw,gps:satellite-count,gps-time-to-fix,ground-speed,gt:activity-count,gt:sys-week,gt:tx-count,heading,height-above-ellipsoid,import-marked-outlier,location-error-text,lotek:crc-status,lotek:crc-status-text,mortality-status,tag-voltage,vertical-error-numerical,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
31297236561,TRUE,2023-12-24 23:00:16,44.3445892,-11.5586691,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,-12,FALSE,,C,OK(corrected),0,3800,,gps,Pteropus rufus,245095,VHL001,Malagasy Pteropodid Telemetry
31297236560,TRUE,2023-12-24 20:01:04,44.38908,-11.5125122,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,-14,FALSE,,G,OK,0,3800,,gps,Pteropus rufus,245095,VHL001,Malagasy Pteropodid Telemetry
31291607217,TRUE,2024-01-06 08:21:29,45.11065,-12.89793,,0,-132,4.0163154329E8,651,1033,60,-12.89793,-12.89793,1,45.11065,45.11065,4,0,0,91,183,3227,131,73,38,8,25,1,,,,,,,,,,,,,,,,,,argos-doppler-shift,Pteropus rufus,245095,VHL001,Malagasy Pteropodid Telemetry
31302101068,TRUE,2024-01-08 09:01:52,45.1401596,-12.8953476,,,,,,,,,,,,,,,,,,,,,,,,,,2D,,,,,,,,0,FALSE,,G,OK,0,3800,,gps,Pteropus rufus,245095,VHL001,Malagasy Pteropodid Telemetry
31315838054,TRUE,2024-01-10 01:59:28,45.1401596,-12.8953981,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,-7,FALSE,,C,OK(corrected),0,3800,,gps,Pteropus rufus,245095,VHL001,Malagasy Pteropodid Telemetry
31302101070,TRUE,2024-01-09 18:01:36,45.140213,-12.8953981,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,-6,FALSE,,G,OK,0,3800,,gps,Pteropus rufus,245095,VHL001,Malagasy Pteropodid Telemetry
31315838052,TRUE,2024-01-09 20:01:04,45.140213,-12.8953981,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,-8,FALSE,,G,OK,0,3800,,gps,Pteropus rufus,245095,VHL001,Malagasy Pteropodid Telemetry
31318040403,TRUE,2024-01-10 17:59:28,45.1402359,-12.8953981,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,-4,FALSE,,G,OK,0,3800,,gps,Pteropus rufus,245095,VHL001,Malagasy Pteropodid Telemetry
31302101069,TRUE,2024-01-09 08:59:44,45.1402359,-12.8954239,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,-5,FALSE,,C,OK(corrected),0,3800,,gps,Pteropus rufus,245095,VHL001,Malagasy Pteropodid Telemetry
31315838053,TRUE,2024-01-09 23:00:16,45.1402359,-12.8954239,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,-20,FALSE,,G,OK,0,3800,,gps,Pteropus rufus,245095,VHL001,Malagasy Pteropodid Telemetry
