"sampleid","bat_species","seropos","antigen","age","age_bin"
"AND42","Eidolon dupreanum",0,"GhV",5,6
"AND43","Eidolon dupreanum",0,"GhV",6,6
"ANGB135","Eidolon dupreanum",0,"GhV",3,4
"ANGB142","Eidolon dupreanum",0,"GhV",1,2
"ANGB143","Eidolon dupreanum",0,"GhV",3,4
"ANGB146","Eidolon dupreanum",0,"GhV",0.69041095890411,0.8
"ANGB147","Eidolon dupreanum",0,"GhV",5,6
"ANGB157","Eidolon dupreanum",0,"GhV",8,9
"ANGB158","Eidolon dupreanum",0,"GhV",8,9
"ANGB159","Eidolon dupreanum",0,"GhV",5,6
"ANGB160","Eidolon dupreanum",0,"GhV",2,2
"ANGB162","Eidolon dupreanum",1,"GhV",4,4
"CAT003","Eidolon dupreanum",1,"GhV",0.86027397260274,2
"CAT028","Eidolon dupreanum",0,"GhV",0.967123287671233,2
"CAT029","Eidolon dupreanum",0,"GhV",0.967123287671233,2
"CAT033","Eidolon dupreanum",1,"GhV",0.967123287671233,2
"KEL159","Eidolon dupreanum",1,"GhV",0.246575342465753,0.8
"KEL164","Eidolon dupreanum",1,"GhV",0.246575342465753,0.8
"KEL166","Eidolon dupreanum",0,"GhV",0.246575342465753,0.8
"KEL169","Eidolon dupreanum",0,"GhV",0.246575342465753,0.8
"KEL171","Eidolon dupreanum",0,"GhV",0.246575342465753,0.8
"KEL185","Eidolon dupreanum",1,"GhV",6,6
"KEL186","Eidolon dupreanum",1,"GhV",5,6
"KEL187","Eidolon dupreanum",0,"GhV",5,6
"KEL188","Eidolon dupreanum",1,"GhV",4,4
"KEL193","Eidolon dupreanum",1,"GhV",0.394520547945205,0.8
"KEL206","Eidolon dupreanum",1,"GhV",0.394520547945205,0.8
"KEL213","Eidolon dupreanum",1,"GhV",1,2
"KEL215","Eidolon dupreanum",0,"GhV",0.69041095890411,0.8
"KEL217","Eidolon dupreanum",1,"GhV",2,2
"KEL218","Eidolon dupreanum",0,"GhV",2,2
"KEL219","Eidolon dupreanum",1,"GhV",1,2
"KEL221","Eidolon dupreanum",0,"GhV",0.69041095890411,0.8
"KEL222","Eidolon dupreanum",1,"GhV",7,9
"KEL227","Eidolon dupreanum",0,"GhV",4,4
"KEL228","Eidolon dupreanum",0,"GhV",0.69041095890411,0.8
"KEL236","Eidolon dupreanum",0,"GhV",0.69041095890411,0.8
"KEL252","Eidolon dupreanum",0,"GhV",7,9
"KEL253","Eidolon dupreanum",0,"GhV",0.136986301369863,0.8
"KEL254","Eidolon dupreanum",0,"GhV",1,2
"KEL255","Eidolon dupreanum",1,"GhV",2,2
"KEL256","Eidolon dupreanum",0,"GhV",4,4
"KEL257","Eidolon dupreanum",1,"GhV",4,4
"KEL258","Eidolon dupreanum",0,"GhV",16,16
"KEL261","Eidolon dupreanum",0,"GhV",8,9
"KEL262","Eidolon dupreanum",1,"GhV",1,2
"KEL263","Eidolon dupreanum",1,"GhV",6,6
"KEL264","Eidolon dupreanum",0,"GhV",4,4
"KEL268B","Eidolon dupreanum",0,"GhV",0.320547945205479,0.8
"KEL270B","Eidolon dupreanum",1,"GhV",0.5,0.8
"KEL273B","Eidolon dupreanum",1,"GhV",1,2
"KEL275B","Eidolon dupreanum",1,"GhV",2,2
"KEL276B","Eidolon dupreanum",0,"GhV",2,2
"KEL277B","Eidolon dupreanum",1,"GhV",3,4
"KEL278B","Eidolon dupreanum",0,"GhV",6,6
"KEL279B","Eidolon dupreanum",1,"GhV",2,2
"KEL281","Eidolon dupreanum",0,"GhV",0.219178082191781,0.8
"KEL286","Eidolon dupreanum",0,"GhV",0.219178082191781,0.8
"KEL290","Eidolon dupreanum",0,"GhV",4,4
"KEL291","Eidolon dupreanum",0,"GhV",4,4
"KEL295","Eidolon dupreanum",0,"GhV",2,2
"KEL296","Eidolon dupreanum",0,"GhV",6,6
"KEL297","Eidolon dupreanum",1,"GhV",5,6
"KEL298","Eidolon dupreanum",0,"GhV",3,4
"KEL309","Eidolon dupreanum",1,"GhV",6,6
"KEL312","Eidolon dupreanum",0,"GhV",1,2
"KEL313","Eidolon dupreanum",0,"GhV",8,9
"KEL316","Eidolon dupreanum",1,"GhV",1,2
"KEL317","Eidolon dupreanum",1,"GhV",1,2
"KEL326","Eidolon dupreanum",1,"GhV",2,2
"KEL327","Eidolon dupreanum",0,"GhV",0.43013698630137,0.8
"KEL336","Eidolon dupreanum",1,"GhV",6,6
"KEL337","Eidolon dupreanum",1,"GhV",4,4
"KEL339","Eidolon dupreanum",0,"GhV",1,2
"KEL340","Eidolon dupreanum",0,"GhV",1,2
"KEL345","Eidolon dupreanum",0,"GhV",9,9
"KEL348","Eidolon dupreanum",0,"GhV",10,11
"KEL354","Eidolon dupreanum",1,"GhV",1,2
"KEL361","Eidolon dupreanum",1,"GhV",3,4
"KEL363","Eidolon dupreanum",0,"GhV",0.635616438356164,0.8
"KEL366","Eidolon dupreanum",1,"GhV",8,9
"KEL367","Eidolon dupreanum",1,"GhV",2,2
"KEL368","Eidolon dupreanum",0,"GhV",3,4
